support_id,support_tuple,support_size,support_mask,x_CooperateBot,x_CupodBot,x_DBot,x_DefectBot,x_DupocBot,x_OBot,x_TitForTatBot,x_EBot,c,c_crosscheck,is_interior,is_singular,tangent_eigvals,max_re_eigval,min_re_eigval,has_complex_eigvals,within_face_class,external_invasion_fitnesses,max_external_fitness,externally_stable,overall_class
209,"(DefectBot, DupocBot, OBot, TitForTatBot, EBot)",5,00011111,,,,1.0,0.0,-0.0,0.0,0.0,-0.0,0.0,False,False,[],,,False,,{},-inf,True,non_interior
210,"(CooperateBot, CupodBot, DBot, DefectBot, DupocBot, OBot)",6,11111100,1.1102230246251565e-16,-0.49999999999999983,-0.4999999999999999,1.6666666666666663,0.4999999999999999,-0.1666666666666666,,,-1.4999999999999993,-1.4999999999999991,False,False,[],,,False,,{},-inf,True,non_interior
211,"(CooperateBot, CupodBot, DBot, DefectBot, DupocBot, TitForTatBot)",6,11111010,,,,,,,,,,,False,True,[],,,False,,{},-inf,True,singular
212,"(CooperateBot, CupodBot, DBot, DefectBot, DupocBot, EBot)",6,11111001,0.33333333333333326,2.7755575615628914e-17,-0.3333333333333333,1.0,-3.083952846180991e-17,,,-1.5419764230904953e-17,-1.1102230246251564e-16,-2.6521994477156517e-16,False,False,[],,,False,,{},-inf,True,non_interior
213,"(CooperateBot, CupodBot, DBot, DefectBot, OBot, TitForTatBot)",6,11110110,0.49999999999999983,0.05555555555555558,-0.16666666666666674,0.5000000000000003,,-0.05555555555555555,0.1666666666666666,,0.9999999999999993,0.9999999999999992,False,False,[],,,False,,{},-inf,True,non_interior
214,"(CooperateBot, CupodBot, DBot, DefectBot, OBot, EBot)",6,11110101,1.0,-0.22222222222222218,-0.3333333333333333,1.3877787807814457e-17,,0.22222222222222224,,0.33333333333333337,2.0,2.0,False,False,[],,,False,,{},-inf,True,non_interior
215,"(CooperateBot, CupodBot, DBot, DefectBot, TitForTatBot, EBot)",6,11110011,0.7777777777777777,-6.938893903907228e-18,-0.1111111111111112,2.220446049250313e-16,,,0.2222222222222222,0.11111111111111115,1.9999999999999996,1.9999999999999996,False,False,[],,,False,,{},-inf,True,non_interior
216,"(CooperateBot, CupodBot, DBot, DupocBot, OBot, TitForTatBot)",6,11101110,,,,,,,,,,,False,True,[],,,False,,{},-inf,True,singular
217,"(CooperateBot, CupodBot, DBot, DupocBot, OBot, EBot)",6,11101101,1.0,1.3322676295501878e-16,-0.9999999999999998,,-4.7287276974775186e-17,1.1102230246251568e-16,,0.9999999999999999,2.0000000000000004,2.0000000000000018,False,False,[],,,False,,{},-inf,True,non_interior
218,"(CooperateBot, CupodBot, DBot, DupocBot, TitForTatBot, EBot)",6,11101011,,,,,,,,,,,False,True,[],,,False,,{},-inf,True,singular
219,"(CooperateBot, CupodBot, DBot, OBot, TitForTatBot, EBot)",6,11100111,1.0000000000000002,-1.6653345369377348e-16,-1.0,,,0.0,-0.0,1.0,2.0,2.0,False,False,[],,,False,,{},-inf,True,non_interior
220,"(CooperateBot, CupodBot, DefectBot, DupocBot, OBot, TitForTatBot)",6,11011110,,,,,,,,,,,False,True,[],,,False,,{},-inf,True,singular
221,"(CooperateBot, CupodBot, DefectBot, DupocBot, OBot, EBot)",6,11011101,0.5000000000000001,0.16666666666666674,,-1.2335811384723962e-16,-0.16666666666666674,0.3333333333333334,,0.16666666666666674,1.5000000000000004,1.5000000000000007,False,False,[],,,False,,{},-inf,True,non_interior
222,"(CooperateBot, CupodBot, DefectBot, DupocBot, TitForTatBot, EBot)",6,11011011,1.1666666666666663,0.1666666666666663,,-0.6666666666666663,-0.1666666666666663,,0.3333333333333335,0.16666666666666666,3.499999999999999,3.5,False,False,[],,,False,,{},-inf,True,non_interior
