t,alpha,zoo,family,fingerprint,n_ne,n_components,max_ne_coop,n_coop_components,full_coop_exists,n_stable_faces,moran_ss,realized_coop
0.4,0.45,body+twins+natives,behavioral,72a1f9b42042,36,1,0.0,0,False,10,Def+Pru+TFT,0.467305
0.6,0.45,body+twins+natives,behavioral,b0781aac0b37,36,1,0.0,0,False,8,Def+Pru+TFT,0.463431
0.8,0.45,body+twins+natives,behavioral,b0781aac0b37,36,1,0.0,0,False,8,Def+Pru+TFT,0.463431
1.0,0.45,body+twins+natives,behavioral,6dc149db6632,272,2,1.0,1,True,6,CIM+Dup+Max+Min,0.974782
0.0,0.62,body+twins+natives,behavioral,30393625b4e5,36,1,0.0,0,False,0,CIM+Def+Dup+Max+OB+Pru,0.0
0.2,0.62,body+twins+natives,behavioral,e129ca2434ac,16,1,0.0,0,False,2,Max,0.038123
0.4,0.62,body+twins+natives,behavioral,0d7eb635b640,36,1,0.0,0,False,6,Max,0.041406
0.6,0.62,body+twins+natives,behavioral,9a8ce6b51813,40,2,0.6111111111111112,1,False,8,Max+TFT,0.585031
0.8,0.62,body+twins+natives,behavioral,9a8ce6b51813,40,2,0.6111111111111112,1,False,8,Max+TFT,0.585031
1.0,0.62,body+twins+natives,behavioral,6dc149db6632,272,2,1.0,1,True,6,CIM+Dup+Max+Min,0.974782
0.0,0.8,body+twins+natives,behavioral,c2b7c4a9bd2f,121,1,0.0,0,False,0,—,0.0
0.2,0.8,body+twins+natives,behavioral,c0004e05b196,36,1,0.0,0,False,1,CIM+Dup+Max,0.011295
0.4,0.8,body+twins+natives,behavioral,a711576af05a,16,1,0.0,0,False,2,Max,0.040551
0.6,0.8,body+twins+natives,behavioral,f93ea72b4a56,33,2,1.0,1,True,11,TFT,0.938065
0.8,0.8,body+twins+natives,behavioral,9a8ce6b51813,40,2,0.6111111111111112,1,False,8,Max+TFT,0.585031
1.0,0.8,body+twins+natives,behavioral,6dc149db6632,272,2,1.0,1,True,6,CIM+Dup+Max+Min,0.974782
0.0,1.0,body+twins+natives,behavioral,28ca9e478fb9,169,1,0.0,0,False,0,—,0.0
0.2,1.0,body+twins+natives,behavioral,28ca9e478fb9,169,1,0.0,0,False,0,—,0.0
0.4,1.0,body+twins+natives,behavioral,28ca9e478fb9,169,1,0.0,0,False,0,—,0.0
0.6,1.0,body+twins+natives,behavioral,28ca9e478fb9,169,1,0.0,0,False,0,—,0.0
0.8,1.0,body+twins+natives,behavioral,01e563a4396d,121,1,0.0,0,False,0,Def+OB+Pru,0.0
