t,alpha,zoo,family,fingerprint,run,n_types,is_fully_proven,n_pure_ess,edges_strict,n_sccs,n_cycles,n_supports,n_stable_faces,n_extreme_ne,n_ne_components,n_attractors,largest_basin,dominant_support,moran_ss,moran_population,moran_beta
0.0,0.62,body,syntactic,dd7f6ef7d6d2,body_syntactic_t000_a062_dd7f6ef7d6d2,10,True,0,25,10,0,1013,0,25,1,14,0.985075,Cup+Def+Dup+EB+OB,Cup+Def+Dup+EB+OB,100,1.0
0.0,0.8,body,syntactic,1761ebc2cf84,body_syntactic_t000_a080_1761ebc2cf84,10,True,0,16,10,0,1013,0,64,1,16,0.970149,Cup+DB+DIM+Def+Dup+EB+OB+TFT,—,100,1.0
0.0,1.0,body,syntactic,f5cab66f807b,body_syntactic_t080_a100_f5cab66f807b,10,True,0,9,10,0,1013,0,81,1,17,0.965174,Cup+CupT+DB+DIM+Def+Dup+EB+OB+TFT,—,100,1.0
1.0,0.0,body+twins,behavioral,f7df4db66078,body+twins_t100_a000_f7df4db66078,12,True,0,0,12,0,4083,0,144,1,26,0.870647,CIM+Coop+Cup+CupT+DB+DIM+Def+Dup+EB+OB+Pru+TFT,—,100,1.0
1.0,0.3,body+twins,behavioral,f3e66e570e00,body+twins_t100_a030_f3e66e570e00,12,True,0,44,5,39,4083,6,80,2,17,0.9801,CIM+Coop+Dup+TFT,CIM+Dup,100,1.0
1.0,0.45,body+twins,behavioral,f3e66e570e00,body+twins_t100_a030_f3e66e570e00,12,True,0,44,5,39,4083,6,80,2,17,0.9801,CIM+Coop+Dup+TFT,CIM+Dup,100,1.0
1.0,0.62,body+twins,behavioral,f3e66e570e00,body+twins_t100_a030_f3e66e570e00,12,True,0,44,5,39,4083,6,80,2,17,0.9801,CIM+Coop+Dup+TFT,CIM+Dup,100,1.0
1.0,0.8,body+twins,behavioral,f3e66e570e00,body+twins_t100_a030_f3e66e570e00,12,True,0,44,5,39,4083,6,80,2,17,0.9801,CIM+Coop+Dup+TFT,CIM+Dup,100,1.0
1.0,1.0,body+twins,behavioral,f3e66e570e00,body+twins_t100_a030_f3e66e570e00,12,True,0,44,5,39,4083,6,80,2,17,0.9801,CIM+Coop+Dup+TFT,CIM+Dup,100,1.0
0.8,0.0,body+twins,behavioral,f7df4db66078,body+twins_t100_a000_f7df4db66078,12,True,0,0,12,0,4083,0,144,1,26,0.870647,CIM+Coop+Cup+CupT+DB+DIM+Def+Dup+EB+OB+Pru+TFT,—,100,1.0
0.8,0.3,body+twins,behavioral,077ccc54b8a2,body+twins_t080_a030_077ccc54b8a2,12,True,0,47,5,39,4083,6,80,2,17,0.9801,CIM+Coop+Dup+TFT,CIM+Dup,100,1.0
0.8,0.45,body+twins,behavioral,077ccc54b8a2,body+twins_t080_a030_077ccc54b8a2,12,True,0,47,5,39,4083,6,80,2,17,0.9801,CIM+Coop+Dup+TFT,CIM+Dup,100,1.0
0.8,0.62,body+twins,behavioral,cd41b8a9f0ad,body+twins_t080_a062_cd41b8a9f0ad,12,True,0,41,5,39,4083,6,81,3,17,0.9801,CIM+Coop+Dup+TFT,CIM+Dup,100,1.0
0.8,0.8,body+twins,behavioral,cd41b8a9f0ad,body+twins_t080_a062_cd41b8a9f0ad,12,True,0,41,5,39,4083,6,81,3,17,0.9801,CIM+Coop+Dup+TFT,CIM+Dup,100,1.0
0.8,1.0,body+twins,behavioral,9e838945e70a,body+twins_t080_a100_9e838945e70a,12,True,0,11,12,0,4083,0,121,1,24,0.905473,CIM+Cup+CupT+DB+DIM+Def+Dup+EB+OB+Pru+TFT,—,100,1.0
0.6,0.0,body+twins,behavioral,f7df4db66078,body+twins_t100_a000_f7df4db66078,12,True,0,0,12,0,4083,0,144,1,26,0.870647,CIM+Coop+Cup+CupT+DB+DIM+Def+Dup+EB+OB+Pru+TFT,—,100,1.0
